movieid;country;addition;time
1786566;USA;(R-rated version);85
1786566;USA;(unrated version);97
1786921;N;N;107
1787090;N;N;177
1787149;N;N;132
1787149;N;(director's cut);142
1787149;N;(theatrical version);142
1787149;USA;(edited version);94
1787428;N;N;40
1787511;N;N;115
1787525;N;N;110
1787603;N;N;101
1787911;N;N;159
1787911;USA;(director's cut);153
1788154;N;N;90
1788165;N;N;100
1788314;N;N;93
1788621;N;N;89
1788624;N;N;75
1788628;N;N;96
1788636;N;N;69
1788817;N;N;86
1789015;N;N;108
1789145;N;N;98
1789259;N;N;121
1789269;N;N;102
1789269;West Germany;N;94
1789511;USA;N;61
1789692;N;N;133
1789747;N;N;110
1789910;N;N;100
1790007;N;N;108
1790082;N;N;92
1790311;N;N;90
1790523;N;N;116
1790523;Argentina;N;119
1790530;N;(17 fps) (Blu-ray);72
1790530;N;N;75
1790530;Argentina;N;80
1790530;Spain;(DVD edition);68
1790530;Spain;N;70
1790530;Spain;N;77
1790530;USA;N;66
1790753;Sweden;N;109
1790753;USA;N;103
1790780;N;N;115
1790984;N;N;102
1791085;N;N;104
1792102;N;N;102
1792218;N;N;83
1792218;Argentina;N;90
1792281;N;N;83
1792349;N;N;84
1792349;Argentina;N;90
1792363;N;N;105
1792523;N;N;105
1792625;N;N;110
1792713;N;N;86
1793297;N;N;108
1793433;N;N;84
1793451;N;N;98
1793604;N;N;108
1794215;N;N;102
1794255;N;N;103
1794772;N;N;116
1795157;N;N;90
1795427;N;N;94
1795631;N;N;85
1795698;N;N;110
1795997;N;N;88
1796704;N;N;106
1796731;Sweden;N;104
1796731;UK;N;105
1797310;N;N;106
1797365;N;(international version);165
1797365;Finland;(1970);137
1797365;Italy;N;175
1797386;N;N;95
1797386;USA;(edited version);92
1798275;N;N;124
1798372;N;N;80
1798632;N;N;98
1799339;N;N;90
1799603;N;N;51
1801311;N;N;100
1801311;Argentina;N;101
1801574;N;N;91
1801936;N;N;101
1802055;N;N;99
1802058;N;N;93
1802287;N;N;93
1802287;South Korea;(heavily cut);85
1802287;UK;(heavily cut);86
1802676;N;N;105
1802677;N;N;128
1803115;N;N;117
1803357;N;N;100
1803905;N;N;87
1803921;N;N;100
1804232;N;N;144
1804427;N;N;152
1804484;N;N;91
1804630;N;N;98
1804779;N;N;103
1804898;N;N;78
1804898;N;(original version);91
1804898;USA;(director's cut);84
1804923;N;N;83
1804924;N;N;83
1804925;N;N;85
1804947;N;N;100
1805163;N;N;89
1805225;N;N;98
1805246;N;N;109
1805273;N;N;121
1805799;N;N;102
1805799;West Germany;(cut version);82
1806151;N;N;178
1806217;N;N;100
1806794;N;N;97
1806845;N;N;118
1806896;N;N;108
1806914;N;N;94
1806940;N;N;2
1807303;N;N;119
1807444;N;N;75
1807562;N;N;110
1807604;N;N;97
1807863;N;N;110
1808298;N;N;87
1808524;N;N;113
1808524;Argentina;N;113
1808813;N;N;91
1809047;N;N;115
1809149;N;N;113
1809149;Canada;N;115
1809149;Finland;N;110
1809149;Germany;N;108
1809149;Netherlands;N;108
1809197;N;N;112
1809431;N;N;105
1809724;N;N;122
1809864;N;N;91
1809984;N;N;107
1809998;Sweden;N;96
1809998;USA;N;98
1810092;Germany;N;92
1810092;USA;N;95
1810470;N;N;86
1810470;UK;(theatrical version) (2012);106
1811382;N;N;104
1811626;N;N;113
1811722;N;N;124
1812202;N;N;75
1812202;USA;(Encore print);90
1812255;N;N;94
1812339;N;N;87
1812450;N;N;102
1812490;N;N;113
1813663;N;N;83
1815267;N;N;84
1815901;N;N;87
1815914;N;N;84
1815915;N;N;90
1816153;N;N;119
1816171;N;N;92
1816175;N;N;92
1816176;N;N;92
1816182;N;N;90
1816238;N;N;101
1816379;N;N;102
1816691;N;N;130
1816742;N;N;99
1817535;N;N;90
1817898;N;N;77
1817898;USA;(original release);95
1818342;N;N;110
1818562;N;N;97
1819155;N;N;96
1819411;N;(international version);102
1819411;Hong Kong;N;98
1819870;N;N;207
1819870;USA;(second release);100
1819870;USA;(first release);108
1819870;USA;(1966 re-issue);204
1820147;N;N;97
1820288;N;N;123
1820400;N;N;74
1821008;N;N;103
1821229;N;N;95
1821599;N;N;119
1821619;N;N;106
1821739;N;N;111
1821769;N;N;87
1821807;N;N;116
1821852;N;N;114
1821917;N;N;97
1822415;Netherlands;N;108
1822415;USA;N;108
1822607;N;N;98
1822639;N;N;84
1822675;N;N;85
1822675;Japan;N;96
1822675;Sweden;(TV version);76
1823008;N;N;104
1823101;N;N;107
1823223;N;N;141
1823361;N;N;92
1823361;Turkey;(TV version);87
1823361;USA;(extended version);102
1823486;N;N;112
1823740;N;N;128
1823740;Argentina;N;129
1823753;N;N;96
1823865;N;(special edition);132
1823865;N;(original version);135
1823865;N;(director's cut);137
1824605;Brazil;N;94
1824615;N;N;94
1824615;Sweden;N;97
1824623;N;N;97
1824685;N;N;90
1824923;N;N;128
1824929;N;N;70
1824929;N;N;75
1825343;N;N;117
1825348;N;N;116
1825348;UK;N;115
1826286;N;N;92
1826962;N;N;79
1827008;N;N;121
1827008;Argentina;N;133
1827008;USA;(director's cut);140
1827432;N;N;113
1827432;Belgium;(video version);104
1827800;N;(FMC Library Print);133
1827800;N;N;138
1828055;Germany;N;126
1828055;USA;N;115
1828413;N;N;110
1828447;N;N;127
1828716;N;N;88
1829030;N;N;77
1829152;N;N;98
1829152;Argentina;N;108
1829152;Australia;N;106
1829152;Spain;N;83
1829152;USA;(unrated version);108
1829153;Germany;(video);106
1829153;Netherlands;N;101
1829153;USA;N;107
1829283;N;N;105
1829283;Mexico;(R Rated NTSC Version);113
1829882;N;N;115
1829882;USA;(extended version);123
1830096;N;N;129
1830116;N;N;85
1830497;N;N;83
1830531;N;N;90
1830564;N;N;88
1831084;N;N;109
1831363;N;N;88
1831593;N;N;135
1831790;N;N;150
1831904;N;N;112
1832668;N;N;93
1832720;N;N;118
1832832;N;N;126
1832852;N;N;98
1832872;N;N;91
1832956;N;N;104
1832956;N;(extended director's cut);120
1832956;USA;(director's cut);116
1833143;N;N;93
1833175;N;N;123
1833995;N;N;115
1834154;N;N;80
1834266;Argentina;N;102
1834266;Spain;N;103
1834266;USA;N;100
1834423;N;N;77
1834632;N;N;124
1835117;N;N;105
1835175;N;N;118
1835175;USA;(dvd release) (IFC library print);107
1835296;N;N;128
1835442;N;N;117
1835618;N;N;108
1836147;N;N;100
1836147;N;(director's cut);107
1836375;N;N;132
1836516;N;N;100
1836516;N;(R-rated version);90
1836984;N;N;111
1837319;N;N;76
1837323;N;N;5
1837340;N;N;79
1837467;N;N;120
1837467;USA;(approx.) (Original Workprint);130
1837469;N;N;92
1837469;UK;(UK video version);85
1837764;N;N;100
1837764;Spain;N;98
1837962;N;N;104
1837991;N;N;105
1837991;Germany;N;100
1838160;N;N;116
1838160;USA;(extended version);123
1838360;N;N;107
1838411;N;N;127
1838411;Germany;(DVD version);123
1838481;N;(DVD);93
1838481;N;N;97
1838568;N;N;94
1838619;N;N;115
1838773;N;N;132
1838773;USA;N;119
1838850;N;N;86
1839137;N;N;94
1839137;Argentina;N;94
1839137;Poland;N;91
1839311;N;N;97
1839442;N;N;119
1839754;N;N;106
1840524;N;N;90
1840882;N;N;93
1841896;N;N;88
1842301;N;N;74
1842580;N;N;109
1842584;N;N;124
1843039;N;N;137
1843756;N;N;106
1843757;N;N;104
1844312;N;N;125
1844854;N;N;80
1844997;N;N;93
1845075;UK;N;138
1846390;N;N;107
1846990;N;N;126
1847035;Taiwan;N;98
1847048;N;N;140
1847051;N;N;97
1847080;(None);(DVD special edition);236
1847080;N;N;181
1847080;USA;(extended version);224
1847080;USA;(director's cut);236
1847235;N;N;95
1847595;N;N;111
1847692;N;(Unrated Director's Cut);108
1847699;N;N;95
1847722;N;N;119
1847739;N;N;99
1848628;N;N;108
1848859;N;N;93
1849147;N;N;100
1849147;N;(director's cut);111
1849156;N;N;94
1849156;UK;N;90
1850182;N;N;149
1850182;N;(director's cut);209
1851750;N;N;86
1851871;Argentina;N;115
1851871;Germany;N;115
1851871;UK;N;116
1852854;N;N;105
1852976;N;N;71
1853052;UK;N;112
1853104;N;N;110
1853531;N;N;93
1853531;USA;(TV version) (3 parts);150
1854045;N;N;114
1854142;N;N;94
1854166;N;N;107
1854233;N;N;102
1854918;Argentina;N;106
1854918;Germany;N;98
1854918;UK;N;105
1854918;USA;N;102
1856252;N;N;107
1856325;N;N;96
1856325;Turkey;(TV version);83
1856595;N;N;121
1856595;Argentina;N;120
1856595;Australia;N;115
1856608;N;N;122
1856613;N;N;96
1856672;N;N;88
1856727;N;N;128
1856731;N;N;119
1856763;N;N;116
1856939;N;N;91
1857326;N;N;91
1857496;N;N;93
1857769;N;N;112
1857796;N;N;82
1858038;N;N;104
1858357;N;N;93
1858361;N;N;92
1858362;N;N;99
1858362;Finland;(cut version);91
1858362;Norway;N;94
1858363;N;N;88
1858363;Greece;(uncut version);95
1858364;N;N;95
1858396;N;N;103
1858463;N;N;109
1859092;N;N;106
